Airline,Flight Number,Departure City,Departure Time,Arrival City,Arrival Time,Price
Vietjet Air,VJ184,Ho Chi Minh,09-08-2024 22:30,Ha Noi,10-08-2024 00:35,"1,491,600VND"
Vietjet Air,VJ162,Ho Chi Minh,09-08-2024 23:00,Ha Noi,10-08-2024 01:00,"1,729,200VND"
Vietravel Airlines,VU718,Ho Chi Minh,09-08-2024 11:05,Ha Noi,09-08-2024 13:10,"1,796,040VND"
Vietjet Air,VJ128,Ho Chi Minh,09-08-2024 09:45,Ha Noi,09-08-2024 11:50,"1,858,800VND"
Vietjet Air,VJ134,Ho Chi Minh,09-08-2024 12:30,Ha Noi,09-08-2024 14:40,"1,858,800VND"
Vietjet Air,VJ136,Ho Chi Minh,09-08-2024 13:20,Ha Noi,09-08-2024 15:30,"1,858,800VND"
Vietjet Air,VJ142,Ho Chi Minh,09-08-2024 15:30,Ha Noi,09-08-2024 17:35,"1,858,800VND"
Vietravel Airlines,VU720,Ho Chi Minh,09-08-2024 18:50,Ha Noi,09-08-2024 21:10,"2,001,240VND"
Vietjet Air,VJ1142,Ho Chi Minh,09-08-2024 09:15,Ha Noi,09-08-2024 11:25,"2,031,600VND"
Vietjet Air,VJ172,Ho Chi Minh,09-08-2024 12:10,Ha Noi,09-08-2024 14:20,"2,031,600VND"
Vietravel Airlines,VU718,Ho Chi Minh,09-08-2024 11:05,Ha Noi,09-08-2024 13:10,"2,174,040VND"
Vietravel Airlines,VU720,Ho Chi Minh,09-08-2024 18:50,Ha Noi,09-08-2024 21:10,"2,174,040VND"
Vietjet Air,VJ184,Ho Chi Minh,09-08-2024 22:30,Ha Noi,10-08-2024 00:35,"2,247,600VND"
Vietravel Airlines,VU750,Ho Chi Minh,09-08-2024 05:45,Ha Noi,09-08-2024 07:50,"2,346,840VND"
Vietjet Air,VJ176,Ho Chi Minh,09-08-2024 22:10,Ha Noi,10-08-2024 00:15,"2,377,200VND"
Pacific Airline,VN6592,Ho Chi Minh,09-08-2024 06:25,Ha Noi,09-08-2024 08:30,"2,410,000VND"
Vietnam Airlines,VN256,Ho Chi Minh,09-08-2024 20:45,Ha Noi,09-08-2024 22:50,"2,410,000VND"
Vietjet Air,VJ162,Ho Chi Minh,09-08-2024 23:00,Ha Noi,10-08-2024 01:00,"2,485,200VND"
Vietjet Air,VJ120,Ho Chi Minh,09-08-2024 06:00,Ha Noi,09-08-2024 08:10,"2,571,600VND"
Vietjet Air,VJ168,Ho Chi Minh,09-08-2024 06:40,Ha Noi,09-08-2024 08:50,"2,571,600VND"
Vietjet Air,VJ182,Ho Chi Minh,09-08-2024 06:55,Ha Noi,09-08-2024 09:00,"2,571,600VND"
Vietjet Air,VJ122,Ho Chi Minh,09-08-2024 07:00,Ha Noi,09-08-2024 09:10,"2,571,600VND"
Pacific Airline,VN6592,Ho Chi Minh,09-08-2024 06:25,Ha Noi,09-08-2024 08:30,"2,593,000VND"
Vietnam Airlines,VN262,Ho Chi Minh,09-08-2024 19:30,Ha Noi,09-08-2024 21:40,"2,593,000VND"
Vietnam Airlines,VN220,Ho Chi Minh,09-08-2024 20:00,Ha Noi,09-08-2024 22:15,"2,593,000VND"
Vietnam Airlines,VN256,Ho Chi Minh,09-08-2024 20:45,Ha Noi,09-08-2024 22:50,"2,593,000VND"
Vietjet Air,VJ128,Ho Chi Minh,09-08-2024 09:45,Ha Noi,09-08-2024 11:50,"2,614,800VND"
Vietjet Air,VJ134,Ho Chi Minh,09-08-2024 12:30,Ha Noi,09-08-2024 14:40,"2,614,800VND"
Vietjet Air,VJ136,Ho Chi Minh,09-08-2024 13:20,Ha Noi,09-08-2024 15:30,"2,614,800VND"
Vietjet Air,VJ142,Ho Chi Minh,09-08-2024 15:30,Ha Noi,09-08-2024 17:35,"2,614,800VND"
Vietjet Air,VJ1142,Ho Chi Minh,09-08-2024 09:15,Ha Noi,09-08-2024 11:25,"2,787,600VND"
Vietjet Air,VJ172,Ho Chi Minh,09-08-2024 12:10,Ha Noi,09-08-2024 14:20,"2,787,600VND"
Pacific Airline,VN6592,Ho Chi Minh,09-08-2024 06:25,Ha Noi,09-08-2024 08:30,"2,798,000VND"
Vietnam Airlines,VN262,Ho Chi Minh,09-08-2024 19:30,Ha Noi,09-08-2024 21:40,"2,798,000VND"
Vietnam Airlines,VN220,Ho Chi Minh,09-08-2024 20:00,Ha Noi,09-08-2024 22:15,"2,798,000VND"
Vietnam Airlines,VN256,Ho Chi Minh,09-08-2024 20:45,Ha Noi,09-08-2024 22:50,"2,798,000VND"
Vietnam Airlines,VN224,Ho Chi Minh,09-08-2024 22:00,Ha Noi,10-08-2024 00:05,"2,798,000VND"
Vietnam Airlines,VN204,Ho Chi Minh,09-08-2024 05:00,Ha Noi,09-08-2024 07:05,"3,025,000VND"
Pacific Airline,VN6592,Ho Chi Minh,09-08-2024 06:25,Ha Noi,09-08-2024 08:30,"3,025,000VND"
Vietnam Airlines,VN262,Ho Chi Minh,09-08-2024 19:30,Ha Noi,09-08-2024 21:40,"3,025,000VND"
Vietnam Airlines,VN220,Ho Chi Minh,09-08-2024 20:00,Ha Noi,09-08-2024 22:15,"3,025,000VND"
Vietnam Airlines,VN256,Ho Chi Minh,09-08-2024 20:45,Ha Noi,09-08-2024 22:50,"3,025,000VND"
Vietnam Airlines,VN224,Ho Chi Minh,09-08-2024 22:00,Ha Noi,10-08-2024 00:05,"3,025,000VND"
Vietnam Airlines,VN270,Ho Chi Minh,09-08-2024 23:00,Ha Noi,10-08-2024 01:05,"3,025,000VND"
Vietjet Air,VJ176,Ho Chi Minh,09-08-2024 22:10,Ha Noi,10-08-2024 00:15,"3,133,200VND"
Vietnam Airlines,VN204,Ho Chi Minh,09-08-2024 05:00,Ha Noi,09-08-2024 07:05,"3,252,000VND"
Vietnam Airlines,VN7208,Ho Chi Minh,09-08-2024 05:30,Ha Noi,09-08-2024 07:35,"3,252,000VND"
Pacific Airline,VN6592,Ho Chi Minh,09-08-2024 06:25,Ha Noi,09-08-2024 08:30,"3,252,000VND"
Vietnam Airlines,VN216,Ho Chi Minh,09-08-2024 16:00,Ha Noi,09-08-2024 18:15,"3,252,000VND"
Vietnam Airlines,VN252,Ho Chi Minh,09-08-2024 16:40,Ha Noi,09-08-2024 19:10,"3,252,000VND"
Vietnam Airlines,VN262,Ho Chi Minh,09-08-2024 19:30,Ha Noi,09-08-2024 21:40,"3,252,000VND"
Vietnam Airlines,VN220,Ho Chi Minh,09-08-2024 20:00,Ha Noi,09-08-2024 22:15,"3,252,000VND"
Vietnam Airlines,VN256,Ho Chi Minh,09-08-2024 20:45,Ha Noi,09-08-2024 22:50,"3,252,000VND"
Vietnam Airlines,VN260,Ho Chi Minh,09-08-2024 21:00,Ha Noi,09-08-2024 23:05,"3,252,000VND"
Vietnam Airlines,VN224,Ho Chi Minh,09-08-2024 22:00,Ha Noi,10-08-2024 00:05,"3,252,000VND"
Vietnam Airlines,VN270,Ho Chi Minh,09-08-2024 23:00,Ha Noi,10-08-2024 01:05,"3,252,000VND"
Vietjet Air,VJ120,Ho Chi Minh,09-08-2024 06:00,Ha Noi,09-08-2024 08:10,"3,327,600VND"
Vietjet Air,VJ168,Ho Chi Minh,09-08-2024 06:40,Ha Noi,09-08-2024 08:50,"3,327,600VND"
Vietjet Air,VJ182,Ho Chi Minh,09-08-2024 06:55,Ha Noi,09-08-2024 09:00,"3,327,600VND"
Vietjet Air,VJ122,Ho Chi Minh,09-08-2024 07:00,Ha Noi,09-08-2024 09:10,"3,327,600VND"
Vietnam Airlines,VN204,Ho Chi Minh,09-08-2024 05:00,Ha Noi,09-08-2024 07:05,"3,457,000VND"
Vietnam Airlines,VN7208,Ho Chi Minh,09-08-2024 05:30,Ha Noi,09-08-2024 07:35,"3,457,000VND"
Pacific Airline,VN6592,Ho Chi Minh,09-08-2024 06:25,Ha Noi,09-08-2024 08:30,"3,457,000VND"
Vietnam Airlines,VN240,Ho Chi Minh,09-08-2024 07:00,Ha Noi,09-08-2024 09:15,"3,457,000VND"
Vietnam Airlines,VN216,Ho Chi Minh,09-08-2024 16:00,Ha Noi,09-08-2024 18:15,"3,457,000VND"
Vietnam Airlines,VN252,Ho Chi Minh,09-08-2024 16:40,Ha Noi,09-08-2024 19:10,"3,457,000VND"
Vietnam Airlines,VN254,Ho Chi Minh,09-08-2024 17:00,Ha Noi,09-08-2024 19:15,"3,457,000VND"
Vietnam Airlines,VN258,Ho Chi Minh,09-08-2024 19:00,Ha Noi,09-08-2024 21:15,"3,457,000VND"
Vietnam Airlines,VN262,Ho Chi Minh,09-08-2024 19:30,Ha Noi,09-08-2024 21:40,"3,457,000VND"
Vietnam Airlines,VN220,Ho Chi Minh,09-08-2024 20:00,Ha Noi,09-08-2024 22:15,"3,457,000VND"
Vietnam Airlines,VN256,Ho Chi Minh,09-08-2024 20:45,Ha Noi,09-08-2024 22:50,"3,457,000VND"
Vietnam Airlines,VN260,Ho Chi Minh,09-08-2024 21:00,Ha Noi,09-08-2024 23:05,"3,457,000VND"
Vietnam Airlines,VN224,Ho Chi Minh,09-08-2024 22:00,Ha Noi,10-08-2024 00:05,"3,457,000VND"
Vietnam Airlines,VN270,Ho Chi Minh,09-08-2024 23:00,Ha Noi,10-08-2024 01:05,"3,457,000VND"
Vietnam Airlines,VN204,Ho Chi Minh,09-08-2024 05:00,Ha Noi,09-08-2024 07:05,"3,652,000VND"
Vietnam Airlines,VN7208,Ho Chi Minh,09-08-2024 05:30,Ha Noi,09-08-2024 07:35,"3,652,000VND"
Pacific Airline,VN6592,Ho Chi Minh,09-08-2024 06:25,Ha Noi,09-08-2024 08:30,"3,652,000VND"
Vietnam Airlines,VN240,Ho Chi Minh,09-08-2024 07:00,Ha Noi,09-08-2024 09:15,"3,652,000VND"
Vietnam Airlines,VN248,Ho Chi Minh,09-08-2024 13:00,Ha Noi,09-08-2024 15:15,"3,652,000VND"
Vietnam Airlines,VN250,Ho Chi Minh,09-08-2024 15:00,Ha Noi,09-08-2024 17:15,"3,652,000VND"
Vietnam Airlines,VN216,Ho Chi Minh,09-08-2024 16:00,Ha Noi,09-08-2024 18:15,"3,652,000VND"
Vietnam Airlines,VN252,Ho Chi Minh,09-08-2024 16:40,Ha Noi,09-08-2024 19:10,"3,652,000VND"
Vietnam Airlines,VN254,Ho Chi Minh,09-08-2024 17:00,Ha Noi,09-08-2024 19:15,"3,652,000VND"
Vietnam Airlines,VN258,Ho Chi Minh,09-08-2024 19:00,Ha Noi,09-08-2024 21:15,"3,652,000VND"
Vietnam Airlines,VN262,Ho Chi Minh,09-08-2024 19:30,Ha Noi,09-08-2024 21:40,"3,652,000VND"
Vietnam Airlines,VN220,Ho Chi Minh,09-08-2024 20:00,Ha Noi,09-08-2024 22:15,"3,652,000VND"
Vietnam Airlines,VN256,Ho Chi Minh,09-08-2024 20:45,Ha Noi,09-08-2024 22:50,"3,652,000VND"
Vietnam Airlines,VN260,Ho Chi Minh,09-08-2024 21:00,Ha Noi,09-08-2024 23:05,"3,652,000VND"
Vietnam Airlines,VN224,Ho Chi Minh,09-08-2024 22:00,Ha Noi,10-08-2024 00:05,"3,652,000VND"
Vietnam Airlines,VN270,Ho Chi Minh,09-08-2024 23:00,Ha Noi,10-08-2024 01:05,"3,652,000VND"
Vietjet Air,VJ154,Ho Chi Minh,09-08-2024 18:15,Ha Noi,09-08-2024 20:25,"3,738,000VND"
Vietjet Air,VJ194,Ho Chi Minh,09-08-2024 23:00,Ha Noi,10-08-2024 01:10,"3,738,000VND"
Vietnam Airlines,VN204,Ho Chi Minh,09-08-2024 05:00,Ha Noi,09-08-2024 07:05,"3,811,000VND"
